title	score	num_comm	created	content
North Carolina man arrested after he’s discovered with guns, explosives in plot to assassinate Joe Biden	126975	8073	2020-10-23 00:42:40	
Delta adds 460 passengers who refused masks to 'no-fly' list	92325	3211	2020-10-24 00:08:39	
Fauci says it might be time to mandate masks as Covid-19 surges across US	87169	7907	2020-10-24 05:12:59	
U.S. Intelligence Publicly Accuses Iran and Russia of Interfering in 2020 Election	82494	4076	2020-10-22 03:44:23	
Rush Limbaugh says his lung cancer is terminal	79263	3196	2020-10-20 15:46:35	
White supremacists behind majority of US domestic terror attacks in 2020	77947	3337	2020-10-23 11:08:34	
US Ice officers 'used torture to make Africans sign own deportation orders'	73580	5215	2020-10-22 14:33:07	
Poll worker fired for turning away voters with BLM shirts	70875	4685	2020-10-20 05:56:57	
Breonna Taylor grand jury members allowed to speak, judge says	70115	3778	2020-10-20 22:42:49	
California ‘shattering prior election returns’ with 6m ballots already cast	74049	5409	2020-10-24 23:19:09	
Ghislaine Maxwell cannot keep deposition details secret, U.S. appeals court rules	62904	2207	2020-10-20 01:37:54	
Lawyers say they can't find the parents of 545 migrant children separated by Trump administration	60973	3571	2020-10-21 03:41:46	
Rudy Giuliani faces questions after compromising scene in new Borat film | Borat Subsequent Moviefilm | The Guardian	60343	6077	2020-10-21 20:53:33	
Revealed: ex-members of Amy Coney Barrett faith group tell of trauma and sexual abuse	60160	5985	2020-10-21 14:38:15	
800 Compton residents to get guaranteed income in two-year pilot program	48892	3375	2020-10-19 04:23:52	
Ghislaine Maxwell transcripts revealed in Jeffrey Epstein sex abuse case	48394	3127	2020-10-22 18:21:56	
All 62 residents at Kansas nursing home have COVID, 10 have died	48376	2445	2020-10-20 14:08:21	
Charlotte removes the name of a white supremacist North Carolina governor from a branch library	46232	1634	2020-10-23 16:43:22	
Pope Francis backs civil union laws for same sex couples	44927	3116	2020-10-21 17:54:29	
Juror in Breonna Taylor case said grand jury didn't agree fatal shooting was justified	41845	2638	2020-10-21 07:13:36	
Man breaks into home during children’s remote learning class, teacher calls 911	40237	1094	2020-10-19 14:21:31	
